model,bin,date,% buy,% sell,% hold
hgbr,2,2015-06-28,0.4395457581830327,0.4362057448229793,0.12424849699398798
hgbr,2,2015-07-28,0.4524590163934426,0.4478688524590164,0.09967213114754099
hgbr,2,2015-08-28,0.4113524877365102,0.4050455501051156,0.1836019621583742
hgbr,2,2015-09-28,0.3886085075702956,0.3864455659697188,0.22494592645998557
hgbr,2,2015-10-28,0.41839557399723376,0.4149377593360996,0.16666666666666666
hgbr,2,2015-11-28,0.4218106995884774,0.41838134430727025,0.1598079561042524
hgbr,2,2015-12-28,0.4105263157894737,0.4063157894736842,0.1831578947368421
hgbr,2,2016-01-28,0.41655076495132126,0.41307371349095967,0.17037552155771907
hgbr,2,2016-02-28,0.4352226720647773,0.4331983805668016,0.13157894736842105
hgbr,2,2016-03-28,0.4278879015721121,0.42720437457279564,0.14490772385509226
hgbr,2,2016-04-28,0.44900662251655626,0.447682119205298,0.10331125827814569
hgbr,2,2016-05-28,0.4404600811907984,0.4397834912043302,0.11975642760487144
hgbr,2,2016-06-28,0.43004824259131635,0.4286698828394211,0.14128187456926258
hgbr,2,2016-07-28,0.44519621109607577,0.44113667117726657,0.11366711772665765
hgbr,2,2016-08-28,0.4429347826086957,0.44021739130434784,0.11684782608695653
hgbr,2,2016-09-28,0.4280701754385965,0.4224561403508772,0.14947368421052631
hgbr,2,2016-10-28,0.45094086021505375,0.4495967741935484,0.09946236559139784
hgbr,2,2016-11-28,0.4390915347556779,0.43702684101858225,0.12388162422573985
hgbr,2,2016-12-28,0.4270687237026648,0.42566619915848525,0.14726507713884993
hgbr,2,2017-01-28,0.42997198879551823,0.4271708683473389,0.14285714285714285
hgbr,2,2017-02-28,0.4438356164383562,0.4410958904109589,0.11506849315068493
hgbr,2,2017-03-28,0.43137254901960786,0.42927170868347336,0.13935574229691877
hgbr,2,2017-04-28,0.42867182009838367,0.4279690794096978,0.1433591004919185
hgbr,2,2017-05-28,0.4531355360755226,0.45111260957518545,0.09575185434929198
hgbr,2,2017-06-28,0.44490358126721763,0.4380165289256198,0.11707988980716254
hgbr,2,2017-07-28,0.43977976600137647,0.43840330350997936,0.12181693048864418
hgbr,2,2017-08-28,0.4485791610284168,0.4479025710419486,0.10351826792963464
hgbr,2,2017-09-28,0.43936243936243935,0.4358974358974359,0.12474012474012475
hgbr,2,2017-10-28,0.4416839199447895,0.44030365769496205,0.11801242236024845
hgbr,2,2017-11-28,0.43120567375886526,0.42624113475177305,0.1425531914893617
hgbr,2,2017-12-28,0.4245889921372409,0.42172980700500357,0.15368120085775555
hgbr,2,2018-01-28,0.42683797287651676,0.42041399000713775,0.15274803711634546
hgbr,2,2018-02-28,0.4059259259259259,0.3985185185185185,0.19555555555555557
hgbr,2,2018-03-28,0.43466107617051014,0.43116701607267643,0.13417190775681342
hgbr,2,2018-04-28,0.41928571428571426,0.42,0.16071428571428573
hgbr,2,2018-05-28,0.42644978783592646,0.42574257425742573,0.1478076379066478
hgbr,2,2018-06-28,0.40340488527017027,0.39748334566987414,0.1991117690599556
hgbr,2,2018-07-28,0.41965566714490676,0.4146341463414634,0.16571018651362984
hgbr,2,2018-08-28,0.40700218818380746,0.4011670313639679,0.19183078045222465
hgbr,2,2018-09-28,0.4096820809248555,0.4046242774566474,0.1856936416184971
hgbr,2,2018-10-28,0.44850948509485095,0.44308943089430897,0.10840108401084012
hgbr,2,2018-11-28,0.44330601092896177,0.4371584699453552,0.11953551912568305
hgbr,2,2018-12-28,0.43517241379310345,0.4303448275862069,0.13448275862068965
hgbr,2,2019-01-28,0.4463087248322148,0.4469798657718121,0.10671140939597315
hgbr,2,2019-02-28,0.4573694646397885,0.456708526107072,0.08592200925313946
hgbr,2,2019-03-28,0.43685300207039335,0.43478260869565216,0.12836438923395446
hgbr,2,2019-04-28,0.4192390524048816,0.4134960516870065,0.167264895908112
hgbr,2,2019-05-28,0.42228530872959547,0.41802696948190204,0.1596877217885025
hgbr,2,2019-06-28,0.43529411764705883,0.429757785467128,0.13494809688581316
hgbr,2,2019-07-28,0.4589403973509934,0.4543046357615894,0.08675496688741721
hgbr,2,2019-08-28,0.4318339100346021,0.4269896193771626,0.1411764705882353
hgbr,2,2019-09-28,0.4353182751540041,0.433264887063655,0.13141683778234087
hgbr,2,2019-10-28,0.42896742896742895,0.4282744282744283,0.14275814275814275
hgbr,2,2019-11-28,0.37145049884881043,0.36607828089025324,0.2624712202609363
hgbr,2,2019-12-28,0.43810178817056394,0.4339752407152682,0.1279229711141678
hgbr,3,2000-01-28,1.0,0.0,0.0
hgbr,3,2000-02-28,0.4439102564102564,0.44150641025641024,0.11458333333333333
